BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 Immediate Growback.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,
02/18/2021 22:18:38:229 +0000,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,[step],count turtles,the middle,count the-poor,count the-rich,avg-normal-wealth,avg-poor-wealth,avg-rich-wealth,,population,the-poor,the-middle,the-rich,count turtles,,,population,avg-poor-wealth,avg-middle-wealth,avg-rich-wealth,,0
1,no-visualization,100,1000,76,42,7,27,1037.571429,301.4285714,1346.962963,,100,6.4,35.4,25.2,67,,,100,270.09,910.2077311,1573.428254,,1
2,no-visualization,100,1000,58,30,4,24,1049.833333,266,1680.333333,,200,12.8,67,48.6,128.4,,,200,254.6289442,792.381173,1621.745579,,2
3,no-visualization,100,1000,73,35,10,28,728.1142857,214.7,1693.285714,,300,21.2,96.2,71.6,189,,,300,214.6661687,851.621468,1516.337601,,3
4,no-visualization,100,1000,65,34,4,27,720.3529412,267.75,1532.259259,,400,27,130.2,96.4,253.6,,,400,244.5584593,811.4602268,1545.977889,,4
5,no-visualization,100,1000,63,36,7,20,1015.166667,300.5714286,1614.3,,500,34.4,164.2,114.6,313.2,,,500,228.223524,832.0520099,1553.347487,,5
6,no-visualization,200,1000,113,55,10,48,796.8363636,315.9,1869.791667,,600,40,201.6,135.6,377.2,,,600,251.2741702,769.8304189,1483.870891,,6
7,no-visualization,200,1000,117,63,12,42,871.3968254,182,1680.880952,,,,,,,,,,,,,,
8,no-visualization,200,1000,137,71,12,54,717.9295775,184.4166667,1514.722222,,,,,,,,,,,,,,
9,no-visualization,200,1000,129,75,13,41,801.56,400.7692308,1650.195122,,,,,,,,,,,,,,
10,no-visualization,200,1000,146,71,17,58,774.1830986,190.0588235,1393.137931,,,,,,,,,,,,,,
11,no-visualization,300,1000,191,96,20,75,1067.3125,214.65,1615.053333,,,,,,,,,,,,,,
12,no-visualization,300,1000,190,103,22,65,907.8349515,240.6818182,1431.415385,,,,,,,,,,,,,,
13,no-visualization,300,1000,206,113,19,74,740.4070796,329.6842105,1271.081081,,,,,,,,,,,,,,
14,no-visualization,300,1000,174,80,27,67,764.8,163.2592593,1730.164179,,,,,,,,,,,,,,
15,no-visualization,300,1000,184,89,18,77,777.752809,125.0555556,1533.974026,,,,,,,,,,,,,,
16,no-visualization,400,1000,233,128,20,85,804.65625,366.65,1461.741176,,,,,,,,,,,,,,
17,no-visualization,400,1000,251,132,27,92,765.5681818,127.1111111,1503.336957,,,,,,,,,,,,,,
18,no-visualization,400,1000,263,118,28,117,802.9067797,194.6785714,1482.854701,,,,,,,,,,,,,,
19,no-visualization,400,1000,265,137,31,97,802.8905109,209.3870968,1683.824742,,,,,,,,,,,,,,
20,no-visualization,400,1000,256,136,29,91,881.2794118,324.9655172,1598.131868,,,,,,,,,,,,,,
21,no-visualization,500,1000,321,163,36,122,836.1042945,127.4444444,1480.622951,,,,,,,,,,,,,,
22,no-visualization,500,1000,317,171,32,114,833.6374269,202.84375,1566.885965,,,,,,,,,,,,,,
23,no-visualization,500,1000,303,152,37,114,817.5131579,338.6216216,1612.622807,,,,,,,,,,,,,,
24,no-visualization,500,1000,315,164,38,113,892.554878,148.5526316,1510.123894,,,,,,,,,,,,,,
25,no-visualization,500,1000,310,171,29,110,780.4502924,323.6551724,1596.481818,,,,,,,,,,,,,,
26,no-visualization,600,1000,379,206,39,134,728.4757282,272.7692308,1559.358209,,,,,,,,,,,,,,
27,no-visualization,600,1000,376,197,41,138,664.4365482,186.3902439,1456.710145,,,,,,,,,,,,,,
28,no-visualization,600,1000,371,191,40,140,842,239.3,1570.971429,,,,,,,,,,,,,,
29,no-visualization,600,1000,387,209,43,135,755.4593301,272.0465116,1481.444444,,,,,,,,,,,,,,
30,no-visualization,600,1000,373,205,37,131,858.7804878,285.8648649,1350.870229,,,,,,,,,,,,,,
