BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,population,the-poor,the-middle,the-rich,,population,avg-poor-wealth,avg-middle-wealth,avg-rich-wealth,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,,,,,,100,6.4,33.4,25,,100,549.6278571,1445.938541,2371.946571,,
death-rate,,,,,,,,,,,,200,11.6,61.4,45.8,,200,204.8949695,1240.223739,1996.949643,,
02/18/2021 17:15:08:495 +0000,,,,,,,,,,,,300,15.4,98,69.8,,300,89.34947712,1038.713419,1768.366204,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,400,8.6,121,98,,400,52.89181818,906.9065307,1580.722059,,
0,49,0,49,,,,,,,,,500,2,136.4,122,,500,23.5,788.2632486,1367.976781,,
[run number],visualization,initial-population,[step],count turtles,count turtles - count the-poor - count the-rich,count the-poor,count the-rich,avg-normal-wealth,avg-poor-wealth,avg-rich-wealth,,600,0,146,143,,600,0,346.5526301,542.6931136,,
1,no-visualization,100,1000,65,38,7,20,1316.447368,486.2857143,2625.1,,,,,,,,,,,,
2,no-visualization,100,1000,64,31,5,28,1300.225806,559.6,2364.75,,,,,,,,,,,,
3,no-visualization,100,1000,58,29,5,24,1340.241379,735.2,2301.75,,,,,,,,,,,,
4,no-visualization,100,1000,70,34,8,28,1567.235294,443.625,2336.892857,,,,,,,,,,,,
5,no-visualization,100,1000,67,35,7,25,1705.542857,523.4285714,2231.24,,,,,,,,,,,,
6,no-visualization,200,1000,127,73,10,44,1184.739726,222.6,1901.181818,,,,,,,,,,,,
7,no-visualization,200,1000,113,49,13,51,1210.571429,173.6923077,1986.588235,,,,,,,,,,,,
8,no-visualization,200,1000,111,62,9,40,1309.983871,224.1111111,2060.35,,,,,,,,,,,,
9,no-visualization,200,1000,122,69,12,41,1273.768116,166,2070.02439,,,,,,,,,,,,
10,no-visualization,200,1000,121,54,14,53,1222.055556,238.0714286,1966.603774,,,,,,,,,,,,
11,no-visualization,300,1000,181,103,17,61,962.1456311,117.8823529,1784.311475,,,,,,,,,,,,
12,no-visualization,300,1000,161,86,17,58,1103.302326,94.47058824,1832.827586,,,,,,,,,,,,
13,no-visualization,300,1000,191,93,20,78,1015.795699,81.95,1790.358974,,,,,,,,,,,,
14,no-visualization,300,1000,195,103,9,83,1087.980583,72.44444444,1640.144578,,count turtles,,,,,,,,,,
15,no-visualization,300,1000,188,105,14,69,1024.342857,80,1794.188406,,64.8,,,,,,,,,,
16,no-visualization,400,1000,226,112,11,103,969.0178571,47.90909091,1520,,118.8,,,,,,,,,,
17,no-visualization,400,1000,221,122,10,89,963.3114754,55.8,1630.325843,,183.2,,,,,,,,,,
18,no-visualization,400,1000,220,112,12,96,865.5892857,70.5,1677.916667,,227.6,,,,,,,,,,
19,no-visualization,400,1000,238,126,2,110,903.5238095,38,1431.509091,,260.4,,,,,,,,,,
20,no-visualization,400,1000,233,133,8,92,833.0902256,52.25,1643.858696,,289,,,,,,,,,,
21,no-visualization,500,641,266,139,0,127,577.1007194,<RuntimePrimitiveException>,929.8110236,,,,,,,,,,,,
22,no-visualization,500,1000,263,130,2,131,821.0384615,18,1505.908397,,,,,,,,,,,,
23,no-visualization,500,1000,256,132,4,120,851.9848485,27,1504.408333,,,,,,,,,,,,
24,no-visualization,500,844,260,131,0,129,721.4122137,<RuntimePrimitiveException>,1302.581395,,,,,,,,,,,,
25,no-visualization,500,1000,257,150,4,103,969.78,25.5,1597.174757,,,,,,,,,,,,
26,no-visualization,600,213,283,123,0,160,185.8211382,<RuntimePrimitiveException>,295.96875,,,,,,,,,,,,
27,no-visualization,600,711,286,127,0,159,713.2598425,<RuntimePrimitiveException>,985.9056604,,,,,,,,,,,,
28,no-visualization,600,596,285,166,0,119,473.5963855,<RuntimePrimitiveException>,830.0252101,,,,,,,,,,,,
29,no-visualization,600,191,295,170,0,125,170.7941176,<RuntimePrimitiveException>,264.112,,,,,,,,,,,,
30,no-visualization,600,233,296,144,0,152,189.2916667,<RuntimePrimitiveException>,337.4539474,,,,,,,,,,,,
